Time,Ticket,Strategy,Type,Volume,Price,Profit,Comment,Status
2026-02-09 12:56:14,1365826432,BTC/Index,SELL,0.02,5016.34,-10.0,[sl 5016.34],UNKNOWN
2026-02-09 13:00:07,1365834249,BTC/Index,SELL,0.02,5015.06,-2.4,,UNKNOWN
2026-02-09 13:04:52,1365840193,BTC/Index,SELL,0.02,5019.24,9.14,,UNKNOWN
2026-02-09 15:02:17,1366100291,BTC/Index,SELL,0.1,5038.27,5.0,[sl 5038.27],UNKNOWN
2026-02-09 15:04:24,1366107383,BTC/Index,SELL,0.1,5043.37,75.7,,UNKNOWN
2026-02-09 15:08:10,1366117842,BTC/Index,SELL,0.11,5040.04,-55.22,[sl 5040.04],UNKNOWN
2026-02-09 15:10:12,1366123597,BTC/Index,SELL,0.1,5035.56,-50.0,[sl 5035.56],UNKNOWN
2026-02-09 15:13:19,1366132266,BTC/Index,SELL,0.1,5035.62,5.0,[sl 5035.62],UNKNOWN
2026-02-09 15:17:35,1366146217,BTC/Index,SELL,0.1,5030.03,-50.0,[sl 5030.03],UNKNOWN
2026-02-09 15:20:22,1366157838,BTC/Index,SELL,0.09,5026.37,-45.18,[sl 5026.37],UNKNOWN
2026-02-09 15:22:02,1366166908,BTC/Index,SELL,0.09,5021.33,-45.0,[sl 5021.33],UNKNOWN
2026-02-09 15:27:40,1366189473,BTC/Index,SELL,0.09,5027.55,89.28,[tp 5027.55],UNKNOWN
2026-02-09 15:32:31,1366204665,BTC/Index,SELL,0.09,5026.1,4.5,[sl 5026.10],UNKNOWN
2026-02-09 16:10:47,1366316111,BTC/Index,SELL,0.01,5021.09,1.71,,UNKNOWN
2026-02-09 16:10:47,1366316140,BTC/Index,SELL,0.01,5021.09,1.65,,UNKNOWN
2026-02-10 00:33:09,1368106940,BTC/Index,SELL,0.1,5045.0,80.0,[tp 5045.00],UNKNOWN
2026-02-10 00:41:21,1368141981,BTC/Index,SELL,0.1,5047.3,-38.8,[sl 5047.30],UNKNOWN
2026-02-10 00:44:47,1368154412,BTC/Index,SELL,0.1,5055.81,80.0,[tp 5055.81],UNKNOWN
2026-02-10 00:46:54,1368165085,BTC/Index,SELL,0.11,5052.53,-44.0,[sl 5052.53],UNKNOWN
2026-02-10 00:53:01,1368186134,BTC/Index,SELL,0.1,5055.65,15.0,[sl 5055.65],UNKNOWN
2026-02-10 00:57:41,1368198291,BTC/Index,SELL,0.1,5056.66,4.3,,UNKNOWN
2026-02-10 01:00:20,1368203969,BTC/Index,SELL,0.1,5057.54,6.6,,UNKNOWN
2026-02-10 01:04:14,1368223505,BTC/Index,SELL,0.11,5066.07,85.36,,UNKNOWN
2026-02-10 01:32:23,1368313377,BTC/Index,SELL,0.11,5069.14,16.5,[sl 5069.14],UNKNOWN
2026-02-10 02:39:49,1368467386,BTC/Index,SELL,0.12,5066.3,18.0,[sl 5066.30],UNKNOWN
2026-02-10 02:51:18,1368501694,BTC/Index,SELL,0.12,5046.77,-246.12,[sl 5046.77],UNKNOWN
2026-02-10 03:07:16,1368542050,BTC/Index,SELL,0.09,5053.47,4.5,[sl 5053.47],UNKNOWN
2026-02-10 03:18:11,1368563040,BTC/Index,SELL,0.09,5055.2,13.5,[sl 5055.20],UNKNOWN
2026-02-10 09:34:19,1369089104,BTC/Index,SELL,0.09,5037.26,4.5,[sl 5037.26],UNKNOWN
2026-02-10 11:32:17,1369342773,BTC/Index,SELL,0.1,5047.52,5.0,[sl 5047.52],UNKNOWN
2026-02-10 11:42:21,1369360649,BTC/Index,SELL,0.1,5048.66,1.6,,UNKNOWN
2026-02-10 11:46:51,1369368924,BTC/Index,SELL,0.1,5049.42,15.0,[sl 5049.42],UNKNOWN
2026-02-10 12:05:52,1369415913,BTC/Index,SELL,0.1,5029.58,-199.9,[sl 5029.58],UNKNOWN
2026-02-10 12:07:04,1369419946,BTC/Index,SELL,0.08,5031.96,4.0,[sl 5031.96],UNKNOWN
2026-02-10 13:52:36,1369598307,BTC/Index,SELL,0.08,5032.06,-0.8,,UNKNOWN
2026-02-10 17:21:12,1370102978,BTC/Index,SELL,0.08,5037.81,12.0,[sl 5037.81],UNKNOWN
2026-02-10 17:51:08,1370174523,BTC/Index,SELL,0.08,5048.21,6.4,[sl 5048.21],UNKNOWN
2026-02-10 18:09:09,1370230706,BTC/Index,SELL,0.08,5058.26,80.24,[tp 5058.26],UNKNOWN
2026-02-10 19:15:09,1370402949,BTC/Index,SELL,0.09,5039.58,-90.0,[sl 5039.58],UNKNOWN
2026-02-10 19:47:13,1370488073,BTC/Index,SELL,0.08,5053.59,113.92,,UNKNOWN
2026-02-10 19:58:15,1370517289,BTC/Index,SELL,0.09,5043.97,-90.18,[sl 5043.97],UNKNOWN
2026-02-10 20:21:29,1370568578,BTC/Index,SELL,0.08,5045.29,6.4,[sl 5045.29],UNKNOWN
2026-02-10 22:50:02,1371114520,BTC/Index,SELL,0.08,5053.87,6.4,[sl 5053.87],UNKNOWN
2026-02-10 23:19:04,1371227214,BTC/Index,SELL,0.08,5073.96,158.24,[tp 5073.96],UNKNOWN
2026-02-10 23:36:44,1371307636,BTC/Index,SELL,0.1,5064.41,-103.1,[sl 5064.41],UNKNOWN
2026-02-10 23:42:21,1371344242,BTC/Index,SELL,0.09,5054.32,-86.58,[sl 5054.32],UNKNOWN
2026-02-10 23:45:21,1371361573,BTC/Index,SELL,0.08,5044.82,-78.24,[sl 5044.82],UNKNOWN
2026-02-11 00:29:59,1371567569,BTC/Index,SELL,0.07,5032.55,5.6,[sl 5032.55],UNKNOWN
2026-02-11 00:33:41,1371583855,BTC/Index,SELL,0.07,5032.95,5.6,[sl 5032.95],UNKNOWN
2026-02-11 00:36:53,1371598928,BTC/Index,SELL,0.07,5023.11,-66.36,[sl 5023.11],UNKNOWN
